,id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,circulating_supply,total_supply,ath,atl,date
0,bitcoin,btc,Bitcoin,88692.0,1773542722104,1,20238789615.0,19980406.0,19980406.0,126080.0,67.81,2026-01-25
1,ethereum,eth,Ethereum,2930.66,354173986486,2,9130872010.0,120694435.0964247,120694435.0964247,4946.05,0.432979,2026-01-25
2,tether,usdt,Tether,0.998506,186620060068,3,36949531515.0,186901333650.8125,192368270696.4562,1.32,0.572521,2026-01-25
3,binancecoin,bnb,BNB,877.81,119835240169,4,620252668.0,136360450.5799999,136360450.5799999,1369.99,0.0398177,2026-01-25
4,ripple,xrp,XRP,1.89,115311046701,5,1243312153.0,60853233336.0,99985724371.0,3.65,0.00268621,2026-01-25
5,usd-coin,usdc,USDC,0.999516,72426090189,6,2461510577.0,72460168880.0763,72460994920.10463,1.17,0.877647,2026-01-25
6,solana,sol,Solana,126.34,71676017246,7,1838787940.0,565948671.1412635,619043012.7320423,293.31,0.500801,2026-01-25
7,tron,trx,TRON,0.298061,28226692478,8,434704966.0,94711337500.69508,94714633243.20177,0.431288,0.00180434,2026-01-25
8,staked-ether,steth,Lido Staked Ether,2929.57,27502427476,9,11138022.0,9378443.648806537,9378443.648806537,4932.89,482.9,2026-01-25
9,dogecoin,doge,Dogecoin,0.122467,20655288417,10,424401246.0,168376333126.5791,168464413126.579,0.731578,8.69e-05,2026-01-25
10,figure-heloc,figr_heloc,Figure Heloc,1.026,15170431157,11,250472.0,14785927546.447,14785927546.447,1.37,0.155357,2026-01-25
11,cardano,ada,Cardano,0.353325,13021785239,12,225055418.0,36774107790.58057,45000000000.0,3.09,0.01925275,2026-01-25
12,wrapped-steth,wsteth,Wrapped stETH,3592.52,12281908701,13,8644459.0,3416843.843357099,3416843.843357099,7256.02,558.54,2026-01-25
13,bitcoin-cash,bch,Bitcoin Cash,585.18,11698265428,14,191255018.0,19985931.14665078,19985931.14665078,3785.82,76.93,2026-01-25
14,whitebit,wbt,WhiteBIT Coin,54.03,11561082730,15,26018827.0,213858036.0,320358036.0,64.11,3.06,2026-01-25
15,wrapped-bitcoin,wbtc,Wrapped Bitcoin,88526.0,11066360566,16,81578466.0,124963.48883569,124963.48883569,125932.0,3139.17,2026-01-25
16,wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,3191.49,10749233524,17,8331669.0,3364744.219017915,3364744.219017915,5330.78,1501.6,2026-01-25
17,wrapped-eeth,weeth,Wrapped eETH,3185.41,9639328370,18,9501085.0,3024298.672804059,3024298.672804059,5296.78,1505.24,2026-01-25
18,usds,usds,USDS,0.999508,9389342123,19,5828672.0,9395151670.526054,9395151670.526054,1.057,0.948265,2026-01-25
19,binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),0.998337,8969046036,20,1018494570.0,8984992789.453934,8984992789.453934,1.05,0.942186,2026-01-25
20,monero,xmr,Monero,475.68,8782424081,21,135319811.0,18446744.07370955,18446744.07370955,797.73,0.216177,2026-01-25
21,chainlink,link,Chainlink,12.02,8527305373,22,190857171.0,708099970.4525867,1000000000.0,52.7,0.148183,2026-01-25
22,leo-token,leo,LEO Token,8.99,8285652917,23,323623.0,921693173.9,985239504.0,10.14,0.799859,2026-01-25
23,coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,88703.0,6973022039,24,109938792.0,78573.58098667,78573.58098658,125954.0,57439.0,2026-01-25
24,stellar,xlm,Stellar,0.208608,6772430751,25,71326833.0,32423415754.67271,50001786883.65895,0.875563,0.00047612,2026-01-25
25,weth,weth,WETH,2932.3,6649196702,26,51533991.0,2266733.391759721,2266487.367790985,4950.08,82.1,2026-01-25
