,id,symbol,name,market_cap,market_cap_rank
0,bitcoin,btc,Bitcoin,1773542722104,1
1,ethereum,eth,Ethereum,354173986486,2
2,tether,usdt,Tether,186620060068,3
3,binancecoin,bnb,BNB,119835240169,4
4,ripple,xrp,XRP,115311046701,5
5,usd-coin,usdc,USDC,72426090189,6
6,solana,sol,Solana,71676017246,7
7,tron,trx,TRON,28226692478,8
8,staked-ether,steth,Lido Staked Ether,27502427476,9
9,dogecoin,doge,Dogecoin,20655288417,10
10,figure-heloc,figr_heloc,Figure Heloc,15170431157,11
11,cardano,ada,Cardano,13021785239,12
12,wrapped-steth,wsteth,Wrapped stETH,12281908701,13
13,bitcoin-cash,bch,Bitcoin Cash,11698265428,14
14,whitebit,wbt,WhiteBIT Coin,11561082730,15
15,wrapped-bitcoin,wbtc,Wrapped Bitcoin,11066360566,16
16,wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,10749233524,17
17,wrapped-eeth,weeth,Wrapped eETH,9639328370,18
18,usds,usds,USDS,9389342123,19
19,binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),8969046036,20
20,monero,xmr,Monero,8782424081,21
21,chainlink,link,Chainlink,8527305373,22
22,leo-token,leo,LEO Token,8285652917,23
23,coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,6973022039,24
24,stellar,xlm,Stellar,6772430751,25
25,weth,weth,WETH,6649196702,26
26,ethena-usde,usde,Ethena USDe,6588438002,27
27,zcash,zec,Zcash,5920983627,28
28,canton-network,cc,Canton,5818257958,29
29,sui,sui,Sui,5567031947,30
30,hyperliquid,hype,Hyperliquid,5378313431,31
31,litecoin,ltc,Litecoin,5353563944,32
32,avalanche-2,avax,Avalanche,5148543676,33
33,usd1-wlfi,usd1,USD1,4864241193,34
34,world-liberty-financial,wlfi,World Liberty Financial,4687165788,35
35,hedera-hashgraph,hbar,Hedera,4569791250,36
36,shiba-inu,shib,Shiba Inu,4561388329,37
37,usdt0,usdt0,USDT0,4535338772,38
38,dai,dai,Dai,4349887386,39
39,susds,susds,sUSDS,4288340982,40
40,ethena-staked-usde,susde,Ethena Staked USDe,3797558656,41
41,paypal-usd,pyusd,PayPal USD,3764401453,42
42,the-open-network,ton,Toncoin,3739298542,43
43,crypto-com-chain,cro,Cronos,3624522707,44
44,rain,rain,Rain,3380026406,45
45,polkadot,dot,Polkadot,3145784048,46
46,uniswap,uni,Uniswap,3081190491,47
47,mantle,mnt,Mantle,2901775039,48
48,memecore,m,MemeCore,2827910360,49
49,tether-gold,xaut,Tether Gold,2613920058,50
50,bitget-token,bgb,Bitget Token,2536693284,51
51,aave,aave,Aave,2347687633,52
52,bittensor,tao,Bittensor,2249349716,53
53,okb,okb,OKB,2170188122,54
54,falcon-finance,usdf,Falcon USD,2169722174,55
55,pepe,pepe,Pepe,2090674624,56
56,pax-gold,paxg,PAX Gold,2034121611,57
57,near,near,NEAR Protocol,1917397335,58
58,internet-computer,icp,Internet Computer,1845034442,59
59,jito-staked-sol,jitosol,Jito Staked SOL,1830558652,60
60,ethereum-classic,etc,Ethereum Classic,1779441440,61
61,binance-peg-weth,weth,Binance-Peg WETH,1774453407,62
62,blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1684656108,63
63,ondo-finance,ondo,Ondo,1646050774,64
64,htx-dao,htx,HTX DAO,1633261677,65
65,hashnote-usyc,usyc,Circle USYC,1608230246,66
