,date,price_usd
0,2020-01-02,61.17
1,2020-01-03,63.0
2,2020-01-04,63.0
3,2020-01-05,63.0
4,2020-01-06,63.27
5,2020-01-07,62.7
6,2020-01-08,59.65
7,2020-01-09,59.56
8,2020-01-10,59.02
9,2020-01-11,59.02
10,2020-01-12,59.02
11,2020-01-13,58.17
12,2020-01-14,58.34
13,2020-01-15,57.86
14,2020-01-16,58.52
15,2020-01-17,58.55
16,2020-01-18,58.55
17,2020-01-19,58.55
18,2020-01-20,58.55
19,2020-01-21,58.25
20,2020-01-22,56.76
21,2020-01-23,55.51
22,2020-01-24,54.09
23,2020-01-25,54.09
24,2020-01-26,54.09
25,2020-01-27,53.09
26,2020-01-28,53.33
27,2020-01-29,53.29
28,2020-01-30,52.19
29,2020-01-31,51.58
30,2020-02-01,51.58
31,2020-02-02,51.58
32,2020-02-03,50.06
33,2020-02-04,49.59
34,2020-02-05,50.87
35,2020-02-06,50.94
36,2020-02-07,50.34
37,2020-02-08,50.34
38,2020-02-09,50.34
39,2020-02-10,49.59
40,2020-02-11,50.0
41,2020-02-12,51.13
42,2020-02-13,51.41
43,2020-02-14,52.03
44,2020-02-15,52.03
45,2020-02-16,52.03
46,2020-02-17,52.03
47,2020-02-18,52.1
48,2020-02-19,53.31
49,2020-02-20,53.77
50,2020-02-21,53.36
51,2020-02-22,53.36
52,2020-02-23,53.36
53,2020-02-24,51.36
54,2020-02-25,49.78
55,2020-02-26,48.67
56,2020-02-27,47.17
57,2020-02-28,44.83
58,2020-02-29,44.83
59,2020-03-01,44.83
60,2020-03-02,46.78
61,2020-03-03,47.27
62,2020-03-04,46.78
63,2020-03-05,45.9
64,2020-03-06,41.14
65,2020-03-07,41.14
66,2020-03-08,41.14
67,2020-03-09,31.05
68,2020-03-10,34.47
69,2020-03-11,33.13
70,2020-03-12,31.56
71,2020-03-13,31.72
72,2020-03-14,31.72
73,2020-03-15,31.72
74,2020-03-16,28.96
75,2020-03-17,26.96
76,2020-03-18,20.48
77,2020-03-19,25.09
78,2020-03-20,19.48
79,2020-03-21,19.48
80,2020-03-22,19.48
81,2020-03-23,23.33
82,2020-03-24,21.03
83,2020-03-25,20.75
84,2020-03-26,16.6
85,2020-03-27,15.48
86,2020-03-28,15.48
87,2020-03-29,15.48
88,2020-03-30,14.1
89,2020-03-31,20.51
90,2020-04-01,20.28
91,2020-04-02,25.18
92,2020-04-03,28.36
93,2020-04-04,28.36
94,2020-04-05,28.36
95,2020-04-06,26.21
96,2020-04-07,23.54
97,2020-04-08,24.97
98,2020-04-09,22.9
99,2020-04-10,22.9
100,2020-04-11,22.9
101,2020-04-12,22.9
102,2020-04-13,22.36
103,2020-04-14,20.15
104,2020-04-15,19.96
105,2020-04-16,19.82
106,2020-04-17,18.31
107,2020-04-18,18.31
108,2020-04-19,18.31
109,2020-04-20,-36.98
110,2020-04-21,8.91
111,2020-04-22,13.64
112,2020-04-23,15.06
113,2020-04-24,15.99
114,2020-04-25,15.99
115,2020-04-26,15.99
116,2020-04-27,12.17
117,2020-04-28,12.4
118,2020-04-29,15.04
119,2020-04-30,19.23
120,2020-05-01,19.72
121,2020-05-02,19.72
122,2020-05-03,19.72
123,2020-05-04,20.47
124,2020-05-05,24.56
125,2020-05-06,23.88
126,2020-05-07,23.68
127,2020-05-08,24.73
128,2020-05-09,24.73
129,2020-05-10,24.73
130,2020-05-11,24.02
131,2020-05-12,25.76
132,2020-05-13,25.37
