,country,code,year,illiteracy_rate,literacy_rate,invalid_literacy_flag,literacy_rate_outlier_flag,illiteracy_rate_outlier_flag,illiteracy_rate_norm,illiteracy_burden_index
2,Afghanistan,AFG,2011,69.0,31.0,False,True,True,0.7752808988764045,0.7752808988764045
3,Afghanistan,AFG,2015,66.246155,33.75384,False,True,True,0.7443388202247191,0.7443388202247191
4,Afghanistan,AFG,2021,63.0,37.0,False,True,True,0.7078651685393258,0.7078651685393258
6,Albania,ALB,2001,1.0,99.0,False,False,False,0.011235955056179775,0.011235955056179775
7,Albania,ALB,2008,4.0,96.0,False,False,False,0.0449438202247191,0.0449438202247191
8,Albania,ALB,2011,3.0,97.0,False,False,False,0.033707865168539325,0.033707865168539325
9,Albania,ALB,2012,3.0,97.0,False,False,False,0.033707865168539325,0.033707865168539325
10,Albania,ALB,2017,1.1837692,98.81623,False,False,False,0.013300777528089888,0.013300777528089888
13,Algeria,DZA,2002,30.0,70.0,False,False,False,0.33707865168539325,0.33707865168539325
14,Algeria,DZA,2006,27.0,73.0,False,False,False,0.3033707865168539,0.3033707865168539
15,Algeria,DZA,2008,25.0,75.0,False,False,False,0.2808988764044944,0.2808988764044944
20,Angola,AGO,2001,33.0,67.0,False,False,False,0.3707865168539326,0.3707865168539326
21,Angola,AGO,2014,34.0,66.0,False,False,False,0.38202247191011235,0.38202247191011235
22,Angola,AGO,2015,33.764137,66.23586,False,False,False,0.3793723258426966,0.3793723258426966
25,Antigua and Barbuda,ATG,2001,1.0,99.0,False,False,False,0.011235955056179775,0.011235955056179775
30,Argentina,ARG,1991,4.0,96.0,False,False,False,0.0449438202247191,0.0449438202247191
31,Argentina,ARG,2001,3.0,97.0,False,False,False,0.033707865168539325,0.033707865168539325
33,Armenia,ARM,2001,1.0,99.0,False,False,False,0.011235955056179775,0.011235955056179775
34,Armenia,ARM,2011,0.0,100.0,False,False,False,0.0,0.0
35,Armenia,ARM,2016,0.0,100.0,False,False,False,0.0,0.0
36,Armenia,ARM,2017,0.0,100.0,False,False,False,0.0,0.0
37,Armenia,ARM,2020,0.0,100.0,False,False,False,0.0,0.0
38,Armenia,ARM,2022,0.17500305,99.825,False,False,False,0.001966326404494382,0.001966326404494382
