,country,code,year,gdp,continent,avg_schooling_years,invalid_gdp_flag,invalid_schooling_flag,log_gdp,log_gdp_zscore,gdp_outlier_flag
25,Afghanistan,AFG,1990,1617.8264,Asia,2.06,False,False,7.388838798907872,-1.6974585602676822,False
26,Afghanistan,AFG,1995,1617.8264,Asia,2.4,False,False,7.388838798907872,-1.6974585602676822,False
27,Afghanistan,AFG,2000,1617.8264,Asia,3.03,False,False,7.388838798907872,-1.6974585602676822,False
28,Afghanistan,AFG,2001,1454.1108,Asia,3.0879999999999996,False,False,7.282149858766461,-1.7858851224711298,False
29,Afghanistan,AFG,2002,1774.3087,Asia,3.146,False,False,7.481166161259676,-1.6209352464240843,False
30,Afghanistan,AFG,2003,1815.9282,Asia,3.2039999999999997,False,False,7.50435202093468,-1.6017182042445046,False
31,Afghanistan,AFG,2004,1776.9182,Asia,3.262,False,False,7.482635794455837,-1.6197171762936249,False
32,Afghanistan,AFG,2005,1908.1147,Asia,3.32,False,False,7.553870965505363,-1.560675617950886,False
33,Afghanistan,AFG,2006,1929.7239,Asia,3.4419999999999997,False,False,7.565132214670484,-1.5513420024095912,False
34,Afghanistan,AFG,2007,2155.353,Asia,3.564,False,False,7.675709794227665,-1.4596924349468392,False
35,Afghanistan,AFG,2008,2191.5044,Asia,3.686,False,False,7.692343527614092,-1.4459059650651358,False
36,Afghanistan,AFG,2009,2565.022,Asia,3.8080000000000003,False,False,7.849722334566138,-1.3154663258297672,False
37,Afghanistan,AFG,2010,2848.5862,Asia,3.93,False,False,7.954578080003741,-1.228559162968861,False
38,Afghanistan,AFG,2011,2757.0525,Asia,4.106,False,False,7.9219174532799235,-1.2556291379519218,False
39,Afghanistan,AFG,2012,2985.319,Asia,4.282,False,False,8.001461887788452,-1.1897006464261515,False
40,Afghanistan,AFG,2013,3046.5798,Asia,4.458,False,False,8.0217748633386,-1.1728647251615716,False
41,Afghanistan,AFG,2014,3017.9426,Asia,4.6339999999999995,False,False,8.012330619928901,-1.1806923591808547,False
42,Afghanistan,AFG,2015,2967.6921,Asia,4.81,False,False,7.995539859013733,-1.194608977553297,False
43,Afghanistan,AFG,2016,2958.7854,Asia,4.986,False,False,7.99253412526866,-1.197100207681025,False
44,Afghanistan,AFG,2017,2952.999,Asia,5.162,False,False,7.990576543105193,-1.1987227025780294,False
45,Afghanistan,AFG,2018,2902.392,Asia,5.338,False,False,7.973290503577438,-1.2130498207172316,False
46,Afghanistan,AFG,2019,2927.245,Asia,5.514,False,False,7.981816986639579,-1.2059828502901964,False
47,Afghanistan,AFG,2020,2769.6858,Asia,5.69,False,False,7.926489163144872,-1.2518399861784282,False
48,Afghanistan,AFG,2021,2144.1665,Asia,5.69,False,False,7.6705061777575105,-1.464005327312919,False
49,Afghanistan,AFG,2022,1981.7102,Asia,5.69,False,False,7.591715488255849,-1.5293090954170594,False
50,Afghanistan,AFG,2023,1983.8126,Asia,5.69,False,False,7.592775827738442,-1.5284302585377165,False
106,Albania,ALB,1990,5291.1567,Europe,8.61,False,False,8.573792158795193,-0.7153384656507716,False
107,Albania,ALB,1991,3832.5532,Europe,8.596,False,False,8.251286491928164,-0.9826395314817975,False
108,Albania,ALB,1992,3578.7402,Europe,8.581999999999999,False,False,8.182766118022267,-1.0394309955019894,False
109,Albania,ALB,1993,3944.8438,Europe,8.568,False,False,8.280164638072774,-0.9587045745594405,False
110,Albania,ALB,1994,4298.6865,Europe,8.553999999999998,False,False,8.366064789901403,-0.8875082995857471,False
111,Albania,ALB,1995,4901.5557,Europe,8.54,False,False,8.497307923505415,-0.778730584650832,False
112,Albania,ALB,1996,5293.9507,Europe,8.818,False,False,8.57432007031452,-0.7149009188840697,False
113,Albania,ALB,1997,4703.2695,Europe,9.096,False,False,8.456013184151853,-0.8129567362395812,False
114,Albania,ALB,1998,5126.2725,Europe,9.373999999999999,False,False,8.542134065870009,-0.7415775146054321,False
115,Albania,ALB,1999,5790.839,Europe,9.652,False,False,8.664032465077959,-0.6405449580370064,False
116,Albania,ALB,2000,6262.79,Europe,9.93,False,False,8.742381051706197,-0.5756076162670797,False
