,country,code,year,illiteracy_rate,literacy_rate,invalid_literacy_flag,literacy_rate_outlier_flag,illiteracy_rate_outlier_flag
2,Afghanistan,AFG,2011,69.0,31.0,False,True,True
3,Afghanistan,AFG,2015,66.246155,33.75384,False,True,True
4,Afghanistan,AFG,2021,63.0,37.0,False,True,True
6,Albania,ALB,2001,1.0,99.0,False,False,False
7,Albania,ALB,2008,4.0,96.0,False,False,False
8,Albania,ALB,2011,3.0,97.0,False,False,False
9,Albania,ALB,2012,3.0,97.0,False,False,False
10,Albania,ALB,2017,1.1837692,98.81623,False,False,False
13,Algeria,DZA,2002,30.0,70.0,False,False,False
14,Algeria,DZA,2006,27.0,73.0,False,False,False
15,Algeria,DZA,2008,25.0,75.0,False,False,False
20,Angola,AGO,2001,33.0,67.0,False,False,False
21,Angola,AGO,2014,34.0,66.0,False,False,False
22,Angola,AGO,2015,33.764137,66.23586,False,False,False
25,Antigua and Barbuda,ATG,2001,1.0,99.0,False,False,False
30,Argentina,ARG,1991,4.0,96.0,False,False,False
31,Argentina,ARG,2001,3.0,97.0,False,False,False
33,Armenia,ARM,2001,1.0,99.0,False,False,False
34,Armenia,ARM,2011,0.0,100.0,False,False,False
35,Armenia,ARM,2016,0.0,100.0,False,False,False
36,Armenia,ARM,2017,0.0,100.0,False,False,False
37,Armenia,ARM,2020,0.0,100.0,False,False,False
38,Armenia,ARM,2022,0.17500305,99.825,False,False,False
39,Aruba,ABW,2000,3.0,97.0,False,False,False
40,Aruba,ABW,2010,3.0,97.0,False,False,False
43,Azerbaijan,AZE,1999,1.0,99.0,False,False,False
44,Azerbaijan,AZE,2007,0.0,100.0,False,False,False
45,Azerbaijan,AZE,2009,0.0,100.0,False,False,False
46,Azerbaijan,AZE,2010,0.0,100.0,False,False,False
47,Azerbaijan,AZE,2011,0.0,100.0,False,False,False
48,Azerbaijan,AZE,2012,0.0,100.0,False,False,False
49,Azerbaijan,AZE,2013,0.0,100.0,False,False,False
50,Azerbaijan,AZE,2014,0.0,100.0,False,False,False
51,Azerbaijan,AZE,2015,0.0,100.0,False,False,False
52,Azerbaijan,AZE,2016,0.0,100.0,False,False,False
53,Azerbaijan,AZE,2017,0.0,100.0,False,False,False
54,Azerbaijan,AZE,2019,0.0,100.0,False,False,False
55,Azerbaijan,AZE,2023,0.0,100.0,False,False,False
59,Bahrain,BHR,1991,16.0,84.0,False,False,False
60,Bahrain,BHR,2001,13.0,87.0,False,False,False
61,Bahrain,BHR,2022,2.0,98.0,False,False,False
62,Bahrain,BHR,2023,2.0,98.0,False,False,False
64,Bangladesh,BGD,1991,65.0,35.0,False,True,True
65,Bangladesh,BGD,2001,53.0,47.0,False,False,False
66,Bangladesh,BGD,2011,41.0,59.0,False,False,False
67,Bangladesh,BGD,2012,42.0,58.0,False,False,False
68,Bangladesh,BGD,2013,39.0,61.0,False,False,False
69,Bangladesh,BGD,2014,39.0,61.0,False,False,False
70,Bangladesh,BGD,2015,35.0,65.0,False,False,False
71,Bangladesh,BGD,2016,27.0,73.0,False,False,False
72,Bangladesh,BGD,2017,27.0,73.0,False,False,False
73,Bangladesh,BGD,2018,26.0,74.0,False,False,False
74,Bangladesh,BGD,2019,25.0,75.0,False,False,False
75,Bangladesh,BGD,2020,25.0,75.0,False,False,False
76,Bangladesh,BGD,2021,24.0,76.0,False,False,False
77,Bangladesh,BGD,2022,21.0,79.0,False,False,False
81,Belarus,BLR,1999,0.0,100.0,False,False,False
82,Belarus,BLR,2009,0.0,100.0,False,False,False
83,Belarus,BLR,2019,0.0,100.0,False,False,False
94,Belize,BLZ,1991,30.0,70.0,False,False,False
95,Belize,BLZ,2015,9.0839615,90.91604,False,False,False
97,Benin,BEN,1992,73.0,27.0,False,True,True
98,Benin,BEN,2002,65.0,35.0,False,True,True
99,Benin,BEN,2017,61.12879,38.87121,False,False,False
100,Benin,BEN,2019,51.00172,48.99828,False,False,False
101,Benin,BEN,2021,56.16583,43.83417,False,False,False
102,Benin,BEN,2022,48.62123,51.37877,False,False,False
105,Bhutan,BTN,2005,47.0,53.0,False,False,False
106,Bhutan,BTN,2012,45.0,55.0,False,False,False
107,Bhutan,BTN,2017,33.0,67.0,False,False,False
110,Bolivia,BOL,1992,20.0,80.0,False,False,False
111,Bolivia,BOL,2001,13.0,87.0,False,False,False
112,Bolivia,BOL,2007,9.0,91.0,False,False,False
113,Bolivia,BOL,2008,9.0,91.0,False,False,False
114,Bolivia,BOL,2009,9.0,91.0,False,False,False
115,Bolivia,BOL,2011,8.0,92.0,False,False,False
116,Bolivia,BOL,2012,6.0,94.0,False,False,False
117,Bolivia,BOL,2015,8.0,92.0,False,False,False
118,Bolivia,BOL,2020,6.0,94.0,False,False,False
119,Bosnia and Herzegovina,BIH,1991,11.0,89.0,False,False,False
120,Bosnia and Herzegovina,BIH,2000,3.0,97.0,False,False,False
121,Bosnia and Herzegovina,BIH,2013,3.0,97.0,False,False,False
123,Botswana,BWA,1991,31.0,69.0,False,False,False
124,Botswana,BWA,2003,19.0,81.0,False,False,False
130,Brazil,BRA,2000,14.0,86.0,False,False,False
131,Brazil,BRA,2004,11.0,89.0,False,False,False
132,Brazil,BRA,2006,10.0,90.0,False,False,False
133,Brazil,BRA,2007,10.0,90.0,False,False,False
134,Brazil,BRA,2008,10.0,90.0,False,False,False
135,Brazil,BRA,2009,10.0,90.0,False,False,False
136,Brazil,BRA,2010,10.0,90.0,False,False,False
137,Brazil,BRA,2011,9.0,91.0,False,False,False
138,Brazil,BRA,2012,9.0,91.0,False,False,False
139,Brazil,BRA,2013,9.0,91.0,False,False,False
140,Brazil,BRA,2014,8.0,92.0,False,False,False
141,Brazil,BRA,2015,8.0,92.0,False,False,False
142,Brazil,BRA,2016,7.0,93.0,False,False,False
143,Brazil,BRA,2017,7.0,93.0,False,False,False
144,Brazil,BRA,2018,7.0,93.0,False,False,False
147,Brunei,BRN,1991,12.0,88.0,False,False,False
148,Brunei,BRN,2001,7.0,93.0,False,False,False
149,Brunei,BRN,2011,4.0,96.0,False,False,False
157,Bulgaria,BGR,2001,2.0,98.0,False,False,False
158,Bulgaria,BGR,2011,2.0,98.0,False,False,False
160,Burkina Faso,BFA,1991,86.0,14.0,False,True,True
161,Burkina Faso,BFA,1996,87.0,13.0,False,True,True
162,Burkina Faso,BFA,2003,78.0,22.0,False,True,True
163,Burkina Faso,BFA,2005,76.0,24.0,False,True,True
164,Burkina Faso,BFA,2006,78.0,22.0,False,True,True
165,Burkina Faso,BFA,2007,72.0,28.0,False,True,True
166,Burkina Faso,BFA,2014,65.0,35.0,False,True,True
167,Burkina Faso,BFA,2018,61.0,39.0,False,False,False
168,Burkina Faso,BFA,2019,70.0,30.0,False,True,True
169,Burkina Faso,BFA,2021,63.03262,36.96738,False,True,True
170,Burkina Faso,BFA,2022,59.07639,40.92361,False,False,False
172,Burundi,BDI,1990,63.0,37.0,False,True,True
173,Burundi,BDI,2000,41.0,59.0,False,False,False
174,Burundi,BDI,2008,52.0,48.0,False,False,False
175,Burundi,BDI,2014,38.0,62.0,False,False,False
176,Burundi,BDI,2016,34.312263,65.68774,False,False,False
177,Burundi,BDI,2017,32.0,68.0,False,False,False
179,Cambodia,KHM,1998,33.0,67.0,False,False,False
180,Cambodia,KHM,2004,26.0,74.0,False,False,False
181,Cambodia,KHM,2008,23.0,77.0,False,False,False
182,Cambodia,KHM,2009,24.0,76.0,False,False,False
183,Cambodia,KHM,2014,22.0,78.0,False,False,False
184,Cambodia,KHM,2015,19.0,81.0,False,False,False
185,Cambodia,KHM,2021,28.072746,71.92725,False,False,False
188,Cameroon,CMR,2000,32.0,68.0,False,False,False
189,Cameroon,CMR,2007,29.0,71.0,False,False,False
190,Cameroon,CMR,2010,29.0,71.0,False,False,False
191,Cameroon,CMR,2018,27.452873,72.54713,False,False,False
198,Cape Verde,CPV,1990,37.0,63.0,False,False,False
199,Cape Verde,CPV,2012,15.0,85.0,False,False,False
200,Cape Verde,CPV,2015,13.0,87.0,False,False,False
201,Cayman Islands,CYM,2007,1.0,99.0,False,False,False
205,Central African Republic,CAF,2000,49.0,51.0,False,False,False
206,Central African Republic,CAF,2019,57.55721,42.44279,False,False,False
