,country,code,year,adult_literacy_rate,youth_literacy_rate_M,youth_literacy_rate_F,continent,invalid_literacy_flag,adult_literacy_rate_outlier_flag,youth_literacy_rate_M_outlier_flag,youth_literacy_rate_F_outlier_flag
1,Afghanistan,AFG,2011,31.0,62.0,32.0,Asia,False,True,True,True
2,Afghanistan,AFG,2015,33.75384,57.73505,25.48416,Asia,False,True,True,True
3,Afghanistan,AFG,2021,37.0,71.0,42.0,Asia,False,False,True,True
4,Afghanistan,AFG,2022,37.0,83.4,44.17171,Asia,False,False,False,True
5,Albania,ALB,2001,99.0,99.0,99.0,Europe,False,False,False,False
6,Albania,ALB,2005,97.5,99.0,99.49,Europe,False,False,False,False
7,Albania,ALB,2008,96.0,99.0,99.0,Europe,False,False,False,False
8,Albania,ALB,2009,96.5,94.82,96.61,Europe,False,False,False,False
9,Albania,ALB,2011,97.0,99.0,99.0,Europe,False,False,False,False
10,Albania,ALB,2012,97.0,99.0,99.0,Europe,False,False,False,False
11,Albania,ALB,2017,98.81623,98.58999,99.52556,Europe,False,False,False,False
13,Algeria,DZA,2002,70.0,94.0,86.0,Africa,False,False,False,False
14,Algeria,DZA,2006,73.0,94.0,89.0,Africa,False,False,False,False
15,Algeria,DZA,2008,75.0,96.0,92.0,Africa,False,False,False,False
16,Algeria,DZA,2019,75.0,64.79,97.9897,Africa,False,False,True,False
18,Angola,AGO,2001,67.0,84.0,63.0,Africa,False,False,False,True
19,Angola,AGO,2014,66.0,85.0,71.0,Africa,False,False,False,False
20,Angola,AGO,2015,66.23586,83.96919,67.4276,Africa,False,False,False,False
24,Argentina,ARG,1991,96.0,98.0,99.0,South America,False,False,False,False
25,Argentina,ARG,2001,97.0,99.0,99.0,South America,False,False,False,False
27,Armenia,ARM,2000,99.0,100.0,100.0,Asia,False,False,False,False
28,Armenia,ARM,2001,99.0,100.0,100.0,Asia,False,False,False,False
29,Armenia,ARM,2011,100.0,100.0,100.0,Asia,False,False,False,False
30,Armenia,ARM,2016,100.0,100.0,100.0,Asia,False,False,False,False
31,Armenia,ARM,2017,100.0,100.0,100.0,Asia,False,False,False,False
32,Armenia,ARM,2020,100.0,100.0,100.0,Asia,False,False,False,False
33,Armenia,ARM,2022,99.825,99.64871,99.91656,Asia,False,False,False,False
34,Aruba,ABW,2000,97.0,99.0,99.0,North America,False,False,False,False
35,Aruba,ABW,2010,97.0,99.0,99.0,North America,False,False,False,False
36,Azerbaijan,AZE,1999,99.0,100.0,100.0,Asia,False,False,False,False
37,Azerbaijan,AZE,2006,99.5,100.0,100.0,Asia,False,False,False,False
38,Azerbaijan,AZE,2007,100.0,100.0,100.0,Asia,False,False,False,False
39,Azerbaijan,AZE,2009,100.0,100.0,100.0,Asia,False,False,False,False
40,Azerbaijan,AZE,2010,100.0,100.0,100.0,Asia,False,False,False,False
41,Azerbaijan,AZE,2011,100.0,100.0,100.0,Asia,False,False,False,False
