entity,code,year,literacy_rate,mf_youth_and_adults__15_64_years__average_years_of_education,population_historical,owid_region
Afghanistan,AFG,1870,,0.01,4101170,Asia
Afghanistan,AFG,1875,,0.01,4193635,Asia
Afghanistan,AFG,1880,,0.01,4288021,Asia
Afghanistan,AFG,1885,,0.01,4384343,Asia
Afghanistan,AFG,1890,,0.01,4482635,Asia
Afghanistan,AFG,1895,,0.01,4582928,Asia
Afghanistan,AFG,1900,,0.01,4707744,Asia
Afghanistan,AFG,1905,,0.01,4982681,Asia
Afghanistan,AFG,1910,,0.01,5504191,Asia
Afghanistan,AFG,1915,,0.02,7654918,Asia
Afghanistan,AFG,1920,,0.03,10188845,Asia
Afghanistan,AFG,1925,,0.04,8416077,Asia
Afghanistan,AFG,1930,,0.04,6626142,Asia
Afghanistan,AFG,1935,,0.05,6409250,Asia
Afghanistan,AFG,1940,,0.2,6468510,Asia
Afghanistan,AFG,1945,,0.22,6917471,Asia
Afghanistan,AFG,1950,3,0.28,7776180,Asia
Afghanistan,AFG,1955,,0.32,8326981,Asia
Afghanistan,AFG,1960,,0.39,9035048,Asia
Afghanistan,AFG,1965,,0.44,10036003,Asia
Afghanistan,AFG,1970,,0.72,11290134,Asia
Afghanistan,AFG,1975,,0.97,12773966,Asia
Afghanistan,AFG,1979,18,,13655575,Asia
Afghanistan,AFG,1980,,1.29,13169313,Asia
Afghanistan,AFG,1985,,1.73,11426855,Asia
Afghanistan,AFG,1990,,2.06,12045664,Asia
Afghanistan,AFG,1995,,2.4,17065837,Asia
Afghanistan,AFG,2000,,3.03,20130334,Asia
Afghanistan,AFG,2005,,3.32,24404575,Asia
Afghanistan,AFG,2010,,3.93,28284088,Asia
Afghanistan,AFG,2011,31,,29347708,Asia
Afghanistan,AFG,2015,33.75384,4.81,33831767,Asia
Afghanistan,AFG,2020,,5.69,39068977,Asia
Afghanistan,AFG,2021,37,,40000410,Asia
Africa,,1870,,0.057632297,122086255,
Africa,,1875,,0.0679372,125042995,
Africa,,1880,,0.0829817,128194527,
Africa,,1885,,0.10104209,131669056,
Africa,,1890,,0.11763715,135054738,
Africa,,1895,,0.12729484,136921163,
Africa,,1900,,0.14558923,138755559,
Africa,,1905,,0.17948055,141220048,
Africa,,1910,,0.22879495,144068383,
Africa,,1915,,0.3172326,147042086,
Africa,,1920,,0.46067154,150865200,
Africa,,1925,,0.5505489,159672951,
Africa,,1930,,0.65101254,169928217,
Africa,,1935,,0.7203865,181010603,
Africa,,1940,,0.82451165,193310936,
Africa,,1945,,0.9153555,209035596,
Africa,,1950,,1.0554335,227776845,
Africa,,1955,,1.181265,253538237,
Africa,,1960,,1.3246403,283922302,
Africa,,1965,,1.5626957,321013552,
Africa,,1970,,1.900925,365552202,
Africa,,1975,,2.2973142,418433496,
Africa,,1980,,2.8511786,483051700,
Africa,,1985,,3.4740546,559664038,
Africa,,1990,,4.1424775,643775322,
Africa,,1995,,4.7085795,732695472,
Africa,,2000,,5.012495,830582806,
Africa,,2005,,5.4465013,942546629,
Africa,,2010,,5.890455,1072216734,
Africa,,2015,,6.1954384,1220075726,
Africa,,2020,,6.6818657,1380821349,
Albania,ALB,1870,,0.02,604928,Europe
Albania,ALB,1875,,0.03,634193,Europe
Albania,ALB,1880,,0.03,664842,Europe
Albania,ALB,1885,,0.04,696970,Europe
Albania,ALB,1890,,0.05,730840,Europe
Albania,ALB,1895,,0.06,767593,Europe
Albania,ALB,1900,,0.08,805974,Europe
Albania,ALB,1905,,0.1,843514,Europe
Albania,ALB,1910,,0.15,881057,Europe
Albania,ALB,1915,,0.24,911841,Europe
Albania,ALB,1920,,0.36,941221,Europe
Albania,ALB,1925,,0.51,966828,Europe
Albania,ALB,1930,,0.67,995454,Europe
Albania,ALB,1935,,0.84,1044694,Europe
Albania,ALB,1940,,1.08,1100833,Europe
Albania,ALB,1945,,1.8,1167887,Europe
Albania,ALB,1950,72.5,2.75,1247854,Europe
