,entity,code,year,illiteracy_rate,literacy_rate
0,Afghanistan,AFG,1950,97.0,3.0
1,Afghanistan,AFG,1979,82.0,18.0
2,Afghanistan,AFG,2011,69.0,31.0
3,Afghanistan,AFG,2015,66.246155,33.75384
4,Afghanistan,AFG,2021,63.0,37.0
5,Albania,ALB,1950,27.5,72.5
6,Albania,ALB,2001,1.0,99.0
7,Albania,ALB,2008,4.0,96.0
8,Albania,ALB,2011,3.0,97.0
9,Albania,ALB,2012,3.0,97.0
10,Albania,ALB,2017,1.1837692,98.81623
11,Algeria,DZA,1950,82.5,17.5
12,Algeria,DZA,1987,50.0,50.0
13,Algeria,DZA,2002,30.0,70.0
14,Algeria,DZA,2006,27.0,73.0
15,Algeria,DZA,2008,25.0,75.0
16,American Samoa,ASM,1950,3.5,96.5
17,American Samoa,ASM,1980,3.0,97.0
18,Andorra,AND,1950,17.5,82.5
19,Angola,AGO,1950,97.0,3.0
20,Angola,AGO,2001,33.0,67.0
21,Angola,AGO,2014,34.0,66.0
22,Angola,AGO,2015,33.764137,66.23586
23,Anguilla,AIA,1984,5.0,95.0
24,Antigua and Barbuda,ATG,1950,17.5,82.5
25,Antigua and Barbuda,ATG,2001,1.0,99.0
26,Argentina,ARG,1914,35.1,64.9
27,Argentina,ARG,1947,13.6,86.4
28,Argentina,ARG,1950,12.5,87.5
29,Argentina,ARG,1980,6.0,94.0
30,Argentina,ARG,1991,4.0,96.0
31,Argentina,ARG,2001,3.0,97.0
32,Armenia,ARM,1989,1.0,99.0
33,Armenia,ARM,2001,1.0,99.0
34,Armenia,ARM,2011,0.0,100.0
35,Armenia,ARM,2016,0.0,100.0
36,Armenia,ARM,2017,0.0,100.0
37,Armenia,ARM,2020,0.0,100.0
38,Armenia,ARM,2022,0.17500305,99.825
39,Aruba,ABW,2000,3.0,97.0
40,Aruba,ABW,2010,3.0,97.0
41,Australia,AUS,1950,1.5,98.5
42,Austria,AUT,1950,1.5,98.5
43,Azerbaijan,AZE,1999,1.0,99.0
44,Azerbaijan,AZE,2007,0.0,100.0
45,Azerbaijan,AZE,2009,0.0,100.0
46,Azerbaijan,AZE,2010,0.0,100.0
47,Azerbaijan,AZE,2011,0.0,100.0
48,Azerbaijan,AZE,2012,0.0,100.0
49,Azerbaijan,AZE,2013,0.0,100.0
50,Azerbaijan,AZE,2014,0.0,100.0
51,Azerbaijan,AZE,2015,0.0,100.0
52,Azerbaijan,AZE,2016,0.0,100.0
53,Azerbaijan,AZE,2017,0.0,100.0
54,Azerbaijan,AZE,2019,0.0,100.0
55,Azerbaijan,AZE,2023,0.0,100.0
56,Bahamas,BHS,1950,22.5,77.5
57,Bahrain,BHR,1950,87.5,12.5
58,Bahrain,BHR,1981,30.0,70.0
59,Bahrain,BHR,1991,16.0,84.0
60,Bahrain,BHR,2001,13.0,87.0
61,Bahrain,BHR,2022,2.0,98.0
62,Bahrain,BHR,2023,2.0,98.0
63,Bangladesh,BGD,1981,71.0,29.0
64,Bangladesh,BGD,1991,65.0,35.0
65,Bangladesh,BGD,2001,53.0,47.0
