,entity,code,year,adult_literacy_rate__population_15plus_years__both_sexes__pct__lr_ag15t99,youth_literacy_rate__population_15_24_years__male__pct__lr_ag15t24_m,youth_literacy_rate__population_15_24_years__female__pct__lr_ag15t24_f,owid_region
0,Afghanistan,AFG,1979,18.0,46.0,11.0,Asia
1,Afghanistan,AFG,2011,31.0,62.0,32.0,Asia
2,Afghanistan,AFG,2015,33.75384,57.73505,25.48416,Asia
3,Afghanistan,AFG,2021,37.0,71.0,42.0,Asia
4,Afghanistan,AFG,2022,,83.4,44.17171,Asia
5,Albania,ALB,2001,99.0,99.0,99.0,Europe
6,Albania,ALB,2005,,,99.49,Europe
7,Albania,ALB,2008,96.0,99.0,99.0,Europe
8,Albania,ALB,2009,,94.82,96.61,Europe
9,Albania,ALB,2011,97.0,99.0,99.0,Europe
10,Albania,ALB,2012,97.0,99.0,99.0,Europe
11,Albania,ALB,2017,98.81623,98.58999,99.52556,Europe
12,Algeria,DZA,1987,50.0,86.0,62.0,Africa
13,Algeria,DZA,2002,70.0,94.0,86.0,Africa
14,Algeria,DZA,2006,73.0,94.0,89.0,Africa
15,Algeria,DZA,2008,75.0,96.0,92.0,Africa
16,Algeria,DZA,2019,,64.79,97.9897,Africa
17,American Samoa,ASM,1980,97.0,98.0,97.0,Oceania
18,Angola,AGO,2001,67.0,84.0,63.0,Africa
19,Angola,AGO,2014,66.0,85.0,71.0,Africa
20,Angola,AGO,2015,66.23586,83.96919,67.4276,Africa
21,Anguilla,AIA,1984,95.0,99.0,99.0,North America
22,Antigua and Barbuda,ATG,2001,99.0,,,
23,Argentina,ARG,1980,94.0,96.0,97.0,South America
24,Argentina,ARG,1991,96.0,98.0,99.0,South America
25,Argentina,ARG,2001,97.0,99.0,99.0,South America
26,Armenia,ARM,1989,99.0,100.0,100.0,Asia
27,Armenia,ARM,2000,,100.0,100.0,Asia
28,Armenia,ARM,2001,99.0,100.0,100.0,Asia
29,Armenia,ARM,2011,100.0,100.0,100.0,Asia
30,Armenia,ARM,2016,100.0,100.0,100.0,Asia
31,Armenia,ARM,2017,100.0,100.0,100.0,Asia
32,Armenia,ARM,2020,100.0,100.0,100.0,Asia
33,Armenia,ARM,2022,99.825,99.64871,99.91656,Asia
34,Aruba,ABW,2000,97.0,99.0,99.0,North America
35,Aruba,ABW,2010,97.0,99.0,99.0,North America
36,Azerbaijan,AZE,1999,99.0,100.0,100.0,Asia
37,Azerbaijan,AZE,2006,,100.0,100.0,Asia
38,Azerbaijan,AZE,2007,100.0,100.0,100.0,Asia
39,Azerbaijan,AZE,2009,100.0,100.0,100.0,Asia
