,country,code,year,adult_literacy_rate,youth_literacy_rate_M,youth_literacy_rate_F,continent
0,Afghanistan,AFG,2011,31.0,62.0,32.0,Asia
1,Afghanistan,AFG,2015,33.75384,57.73505,25.48416,Asia
2,Afghanistan,AFG,2021,37.0,71.0,42.0,Asia
3,Afghanistan,AFG,2022,37.0,83.4,44.17171,Asia
4,Angola,AGO,2001,67.0,84.0,63.0,Africa
5,Angola,AGO,2014,66.0,85.0,71.0,Africa
6,Angola,AGO,2015,66.23586,83.96919,67.4276,Africa
7,Bangladesh,BGD,1991,35.0,52.0,38.0,Asia
8,Bangladesh,BGD,2001,47.0,67.0,60.0,Asia
9,Bangladesh,BGD,2007,55.0,90.51,77.09,Asia
10,Bangladesh,BGD,2012,58.0,76.0,79.0,Asia
11,Belize,BLZ,1991,70.0,77.0,78.0,North America
12,Benin,BEN,1992,27.0,55.0,27.0,Africa
13,Benin,BEN,2001,31.0,61.08,31.85,Africa
14,Benin,BEN,2002,35.0,59.0,33.0,Africa
15,Benin,BEN,2006,36.935605,72.07,39.53,Africa
16,Benin,BEN,2017,38.87121,66.79979,50.98536,Africa
17,Benin,BEN,2019,48.99828,76.35444,62.76271,Africa
18,Benin,BEN,2021,43.83417,70.96799,59.18644,Africa
19,Benin,BEN,2022,51.37877,74.60011,67.93813,Africa
20,Bhutan,BTN,2005,53.0,80.0,68.0,Asia
21,Bhutan,BTN,2010,54.0,85.0,63.34,Asia
22,Burkina Faso,BFA,1991,14.0,27.0,14.0,Africa
23,Burkina Faso,BFA,1996,13.0,25.0,14.0,Africa
24,Burkina Faso,BFA,2003,22.0,38.0,25.0,Africa
25,Burkina Faso,BFA,2005,24.0,40.0,26.0,Africa
26,Burkina Faso,BFA,2006,22.0,40.0,27.0,Africa
27,Burkina Faso,BFA,2007,28.0,47.0,33.0,Africa
28,Burkina Faso,BFA,2010,31.5,47.04,27.24,Africa
29,Burkina Faso,BFA,2014,35.0,57.0,44.0,Africa
30,Burkina Faso,BFA,2018,39.0,64.0,54.0,Africa
31,Burkina Faso,BFA,2019,30.0,51.0,44.0,Africa
32,Burkina Faso,BFA,2021,36.96738,66.64593,58.758,Africa
33,Burkina Faso,BFA,2022,40.92361,65.47311,60.56925,Africa
34,Burundi,BDI,1990,37.0,59.0,48.0,Africa
35,Burundi,BDI,2000,59.0,77.0,70.0,Africa
36,Burundi,BDI,2005,53.5,72.0,52.83,Africa
37,Burundi,BDI,2008,48.0,67.0,57.0,Africa
38,Burundi,BDI,2010,55.0,82.66,66.51,Africa
39,Burundi,BDI,2014,62.0,85.0,75.0,Africa
40,Cambodia,KHM,1998,67.0,82.0,71.0,Asia
41,Cambodia,KHM,2000,70.5,85.0,54.67,Asia
42,Cambodia,KHM,2004,74.0,88.0,79.0,Asia
43,Cambodia,KHM,2005,75.5,100.0,67.33,Asia
44,Cambodia,KHM,2010,77.0,80.6,78.02,Asia
45,Cameroon,CMR,2000,68.0,88.0,78.0,Africa
46,Cameroon,CMR,2004,69.0,81.39,67.65,Africa
47,Cameroon,CMR,2006,70.0,85.195,64.67,Africa
48,Cameroon,CMR,2007,71.0,89.0,77.0,Africa
49,Cameroon,CMR,2010,71.0,85.0,76.0,Africa
50,Cameroon,CMR,2011,71.51571,86.92,73.41,Africa
51,Cameroon,CMR,2018,72.54713,87.59698,76.3945,Africa
52,Central African Republic,CAF,2000,51.0,73.0,49.0,Africa
53,Central African Republic,CAF,2006,48.147596666666665,70.30127333333333,21.51,Africa
54,Central African Republic,CAF,2010,45.29519333333334,67.60254666666667,27.63,Africa
55,Central African Republic,CAF,2019,42.44279,64.90382,36.67682,Africa
56,Chad,TCD,1993,11.0,26.0,9.0,Africa
57,Chad,TCD,2000,26.0,56.0,23.0,Africa
58,Chad,TCD,2004,28.0,54.0,31.0,Africa
59,Chad,TCD,2010,25.0,47.5,16.88,Africa
60,Chad,TCD,2016,22.0,41.0,22.0,Africa
61,Chad,TCD,2019,30.62792,56.26247,33.32039,Africa
62,Comoros,COM,2000,68.0,84.0,78.0,Africa
63,Comoros,COM,2012,68.0,85.0,78.59,Africa
64,Congo,COG,2005,76.0,88.0,71.0,Africa
65,Cote d'Ivoire,CIV,1998,36.0,54.0,40.0,Africa
66,Cote d'Ivoire,CIV,2000,49.0,71.0,52.0,Africa
67,Cote d'Ivoire,CIV,2006,46.5,65.0,38.57,Africa
68,Cote d'Ivoire,CIV,2014,44.0,59.0,47.0,Africa
69,Cote d'Ivoire,CIV,2016,50.03968,71.98823,54.73764,Africa
70,Cote d'Ivoire,CIV,2019,90.0,93.0,76.0,Africa
71,Cote d'Ivoire,CIV,2021,50.00064,76.16145,58.31827,Africa
72,Democratic Republic of Congo,COD,2001,67.0,78.0,63.0,Africa
73,Democratic Republic of Congo,COD,2007,69.66666666666667,87.36,62.97,Africa
74,Democratic Republic of Congo,COD,2010,72.33333333333333,89.18,64.32,Africa
75,Democratic Republic of Congo,COD,2012,75.0,91.0,77.0,Africa
76,Democratic Republic of Congo,COD,2013,76.0,92.56,76.58,Africa
77,Democratic Republic of Congo,COD,2018,73.55303,90.81754,77.53746,Africa
78,East Timor,TLS,2010,58.0,80.0,79.0,Asia
79,Egypt,EGY,1996,56.0,79.0,67.0,Africa
80,Egypt,EGY,2000,61.5,84.5,77.19,Africa
81,Egypt,EGY,2005,67.0,90.0,79.0,Africa
82,Eritrea,ERI,2002,53.0,86.0,69.0,Africa
83,Ethiopia,ETH,1994,27.0,39.0,28.0,Africa
84,Ethiopia,ETH,2000,31.5,49.47,27.02,Africa
85,Ethiopia,ETH,2004,36.0,62.0,39.0,Africa
86,Ethiopia,ETH,2005,37.5,60.07,34.06,Africa
87,Ethiopia,ETH,2007,39.0,63.0,47.0,Africa
88,Ethiopia,ETH,2011,43.245795,65.08,43.65,Africa
89,Ethiopia,ETH,2016,47.49159,79.13417,64.5676,Africa
90,Ethiopia,ETH,2019,47.49159,79.13417,70.29423,Africa
91,Gambia,GMB,2000,37.0,64.0,41.0,Africa
92,Gambia,GMB,2006,41.66666666666666,71.195,48.15,Africa
93,Gambia,GMB,2013,46.333333333333336,78.39,65.85,Africa
94,Gambia,GMB,2015,51.0,71.0,64.0,Africa
95,Gambia,GMB,2018,53.1602,74.97817,67.01137,Africa
96,Gambia,GMB,2021,51.6374,72.01779,62.55218,Africa
97,Ghana,GHA,2000,58.0,76.0,65.0,Africa
98,Ghana,GHA,2003,62.333333333333336,84.77,73.05,Africa
99,Ghana,GHA,2006,66.66666666666667,86.38499999999999,76.92,Africa
100,Guatemala,GTM,1994,64.0,82.0,71.0,North America
101,Guatemala,GTM,2000,66.5,87.7,76.3,North America
102,Guatemala,GTM,2002,69.0,86.0,78.0,North America
103,Guinea,GIN,1996,21.0,44.0,13.0,Africa
104,Guinea,GIN,2003,30.0,59.0,34.0,Africa
105,Guinea,GIN,2005,27.5,64.19,24.12,Africa
106,Guinea,GIN,2010,25.0,38.0,22.0,Africa
107,Guinea,GIN,2012,28.5,71.69,37.24,Africa
108,Guinea,GIN,2014,32.0,57.0,37.0,Africa
109,Guinea,GIN,2016,36.0,63.5,46.62764,Africa
110,Guinea,GIN,2018,40.0,70.0,43.0,Africa
111,Guinea-Bissau,GNB,2000,41.0,75.0,46.0,Africa
112,Guinea-Bissau,GNB,2006,45.62744,77.27786333333333,35.78,Africa
113,Guinea-Bissau,GNB,2019,54.88232,81.83359,68.58931,Africa
114,Guinea-Bissau,GNB,2022,63.93413,86.19711,78.26567,Africa
115,India,IND,1991,48.0,74.0,49.0,Asia
116,India,IND,2001,61.0,84.0,68.0,Asia
117,India,IND,2006,63.0,88.0,74.0,Asia
118,Iraq,IRQ,2006,75.0,88.33333333333333,72.85,Asia
119,Iraq,IRQ,2011,76.0,87.66666666666667,71.93,Asia
120,Iraq,IRQ,2012,77.0,87.0,79.0,Asia
121,Laos,LAO,1995,60.0,79.0,64.0,Asia
122,Laos,LAO,2000,70.0,88.0,74.0,Asia
123,Laos,LAO,2001,69.0,83.0,75.0,Asia
124,Laos,LAO,2005,73.0,89.0,79.0,Asia
125,Laos,LAO,2006,79.0,91.5,67.08,Asia
126,Madagascar,MDG,2000,71.0,73.0,68.0,Africa
127,Madagascar,MDG,2005,59.0,59.0,56.0,Africa
128,Madagascar,MDG,2012,72.0,78.0,75.0,Africa
129,Madagascar,MDG,2018,77.0,81.0,79.0,Africa
130,Malawi,MWI,1998,64.0,82.0,71.0,Africa
131,Malawi,MWI,2006,66.05075666666667,81.76711,72.23,Africa
132,Malawi,MWI,2014,68.10151333333333,81.53421999999999,75.73,Africa
133,Mali,MLI,1998,19.0,32.0,17.0,Africa
134,Mali,MLI,2003,24.0,39.5,24.0,Africa
135,Mali,MLI,2006,26.0,47.0,31.0,Africa
136,Mali,MLI,2010,31.0,56.0,34.0,Africa
137,Mali,MLI,2011,31.0,56.0,30.0,Africa
138,Mali,MLI,2015,33.0,61.0,39.0,Africa
139,Mali,MLI,2018,35.0,58.0,43.0,Africa
140,Mali,MLI,2020,35.0,44.16,60.92,Africa
141,Mauritania,MRT,2000,51.0,68.0,55.0,Africa
