,country,code,year,gdp,continent,avg_schooling_years
0,Tonga,TON,1990,4487.8193,Oceania,11.22
1,Tonga,TON,1991,4766.388,Oceania,11.22
2,Tonga,TON,1992,4772.331,Oceania,11.22
3,Tonga,TON,1993,4946.718,Oceania,11.22
4,Kyrgyzstan,KGZ,1992,4701.991,Asia,11.05
5,Kyrgyzstan,KGZ,1993,3973.8833,Asia,11.05
6,Kyrgyzstan,KGZ,1994,3176.9238,Asia,11.05
7,Kyrgyzstan,KGZ,1995,2974.7117,Asia,11.05
8,Kyrgyzstan,KGZ,1996,3138.6663,Asia,11.05
9,Kyrgyzstan,KGZ,1997,3399.9343,Asia,11.05
10,Kyrgyzstan,KGZ,1998,3419.2234,Asia,11.05
11,Kyrgyzstan,KGZ,1999,3491.9377,Asia,11.05
12,Kyrgyzstan,KGZ,2000,3638.4631,Asia,11.05
13,Kyrgyzstan,KGZ,2001,3795.8906,Asia,11.05
14,Kyrgyzstan,KGZ,2002,3760.5325,Asia,11.05
15,Kyrgyzstan,KGZ,2003,3982.9272,Asia,11.05
16,Kyrgyzstan,KGZ,2004,4211.5225,Asia,11.05
17,Kyrgyzstan,KGZ,2005,4156.9585,Asia,11.05
18,Kyrgyzstan,KGZ,2006,4240.1704,Asia,11.05
19,Kyrgyzstan,KGZ,2007,4558.713,Asia,11.05
20,Kyrgyzstan,KGZ,2008,4894.943,Asia,11.05
21,Kyrgyzstan,KGZ,2009,4969.9614,Asia,11.05
22,Kyrgyzstan,KGZ,2010,4876.4795,Asia,11.05
23,Kyrgyzstan,KGZ,2012,4993.3945,Asia,11.05
24,Armenia,ARM,1992,3136.7244,Asia,10.45
25,Armenia,ARM,1993,2958.8804,Asia,10.45
26,Armenia,ARM,1994,3200.8965,Asia,10.45
27,Armenia,ARM,1995,3480.7559,Asia,10.45
28,Armenia,ARM,1996,3717.3357,Asia,10.45
29,Armenia,ARM,1997,3879.1794,Asia,10.45
30,Armenia,ARM,1998,4211.5127,Asia,10.45
31,Armenia,ARM,1999,4406.9673,Asia,10.45
32,Armenia,ARM,2000,4589.0083,Asia,10.45
33,Tajikistan,TJK,1990,4173.046,Asia,10.16
34,Tajikistan,TJK,1991,3777.1074,Asia,10.16
35,Tajikistan,TJK,1992,2630.3865,Asia,10.16
36,Tajikistan,TJK,1993,2169.9675,Asia,10.16
37,Tajikistan,TJK,1994,1678.3385,Asia,10.16
38,Tajikistan,TJK,1995,1439.5028,Asia,10.16
39,Tajikistan,TJK,1996,1175.7941,Asia,10.16
40,Tajikistan,TJK,1997,1181.2811,Asia,10.16
41,Tajikistan,TJK,1998,1236.6755,Asia,10.16
42,Tajikistan,TJK,1999,1275.8225,Asia,10.16
43,Tajikistan,TJK,2000,1365.2333,Asia,10.16
44,Tajikistan,TJK,2001,1467.3988,Asia,10.16
45,Tajikistan,TJK,2002,1594.939,Asia,10.16
46,Tajikistan,TJK,2003,1736.6404,Asia,10.16
47,Tajikistan,TJK,2004,1878.287,Asia,10.16
48,Tajikistan,TJK,2005,1965.3002,Asia,10.16
49,Tajikistan,TJK,2006,2063.2886,Asia,10.16
50,Tajikistan,TJK,2007,2181.898,Asia,10.16
51,Tajikistan,TJK,2008,2308.0942,Asia,10.16
52,Tajikistan,TJK,2009,2349.5002,Asia,10.16
53,Tajikistan,TJK,2010,2449.2737,Asia,10.16
54,Tajikistan,TJK,2011,2572.4807,Asia,10.16
55,Tajikistan,TJK,2012,2700.0955,Asia,10.16
56,Tajikistan,TJK,2013,2828.3855,Asia,10.16
57,Tajikistan,TJK,2014,2943.0886,Asia,10.16
58,Tajikistan,TJK,2015,3041.4448,Asia,10.16
59,Tajikistan,TJK,2016,3169.9668,Asia,10.152
60,Tajikistan,TJK,2017,3312.712,Asia,10.144
61,Tajikistan,TJK,2018,3479.6924,Asia,10.136
62,Tajikistan,TJK,2019,3649.8838,Asia,10.128
63,Tajikistan,TJK,2020,3724.749,Asia,10.12
64,Tajikistan,TJK,2021,3985.9126,Asia,10.12
65,Tajikistan,TJK,2022,4213.7563,Asia,10.12
66,Tajikistan,TJK,2023,4472.324,Asia,10.12
67,Tajikistan,TJK,2024,4755.933,Asia,10.12
68,Sri Lanka,LKA,1992,4866.2393,Asia,9.272
69,Albania,ALB,1997,4703.2695,Europe,9.096
70,Sri Lanka,LKA,1991,4735.8193,Asia,9.086
71,Sri Lanka,LKA,1990,4561.579,Asia,8.9
72,Albania,ALB,1991,3832.5532,Europe,8.596
73,Albania,ALB,1992,3578.7402,Europe,8.581999999999999
74,Albania,ALB,1993,3944.8438,Europe,8.568
75,Albania,ALB,1994,4298.6865,Europe,8.553999999999998
76,Albania,ALB,1995,4901.5557,Europe,8.54
77,Zambia,ZMB,2020,3391.5955,Africa,8.37
78,Zambia,ZMB,2021,3503.035,Africa,8.37
79,Zambia,ZMB,2022,3585.1238,Africa,8.37
80,Zambia,ZMB,2023,3673.4841,Africa,8.37
81,Zambia,ZMB,2024,3708.069,Africa,8.37
82,Zimbabwe,ZWE,2020,4527.7197,Africa,8.32
83,Zimbabwe,ZWE,2021,4827.089,Africa,8.32
84,Zambia,ZMB,2019,3591.5642,Africa,8.276
85,Zimbabwe,ZWE,2019,4993.8438,Africa,8.262
86,Zambia,ZMB,2018,3646.9597,Africa,8.182
87,Zambia,ZMB,2017,3612.5059,Africa,8.088
88,Philippines,PHL,2002,4856.4995,Asia,8.084
89,Philippines,PHL,2001,4778.401,Asia,8.022
90,Zambia,ZMB,2016,3598.1716,Africa,7.994
91,Vietnam,VNM,1990,2467.9646,Asia,7.99
92,Vietnam,VNM,1991,2560.8438,Asia,7.99
93,Vietnam,VNM,1992,2726.4736,Asia,7.99
94,Vietnam,VNM,1993,2890.4243,Asia,7.99
95,Vietnam,VNM,1994,3089.6094,Asia,7.99
96,Vietnam,VNM,1995,3328.2148,Asia,7.99
97,Vietnam,VNM,1996,3584.029,Asia,7.99
98,Vietnam,VNM,1997,3820.3025,Asia,7.99
99,Vietnam,VNM,1998,3982.958,Asia,7.99
100,Vietnam,VNM,1999,4119.0537,Asia,7.99
101,Vietnam,VNM,2000,4349.2236,Asia,7.99
102,Vietnam,VNM,2001,4570.2686,Asia,7.99
